Unnamed: 0,R0,SEIRi4,SEIRe1,SEIRe4,SEIRi4v025,SEIRe1v025,SEIRe4v025,COVID,SIR,SIRv2,SIRv025,SIRv00001
0,1.0,59528.251473121956,220063.21196337425,212658.6029652121,47395.9512354144,183455.5849465286,184810.40191971182,39237.31639399292,61385.237620103195,87476.29940353202,51315.39447932797,42090.44715702487
1,1.125,67931.74504939883,250548.0027126787,241867.3064617961,53900.072695804934,208241.48689758332,209752.02832554554,44592.933374250344,70540.97758589487,101160.98453874343,58913.50770714122,48304.87025213495
2,1.25,76592.02634807781,281804.5262245732,271748.11738243914,60552.32714266594,233490.15339146068,235152.25957659856,50062.863212901684,80127.20697051851,115705.97511250373,66851.45626077731,54791.725505127506
3,1.375,85525.28483129556,313872.8729491122,302332.6967751688,67359.61967814874,259219.19379145384,261028.27693072605,55652.09243514663,90186.41365861002,131226.73913927207,75161.06838941126,61575.99857436835
4,1.5,94749.29095757299,346796.34079820337,333654.99695536005,74329.34976320654,285447.2421089163,287398.24562997784,61365.941136477304,100767.70366023919,147863.67437831036,83878.86441395126,68686.27828502917
5,1.625,104283.60898658431,380621.7866956847,365751.4880702829,81469.45956405092,312194.0380741595,314281.3915034066,67210.09341449042,111928.25124341615,165789.84521847658,93047.02686816812,76155.48458264447
6,1.75,114149.84683931866,415400.02765163523,398661.4133788746,88788.48835717396,339480.5163874106,341698.08517245913,73190.63135224892,123735.16938468989,185221.9753293815,102714.63510729893,84021.79014836432
7,1.875,124371.95103676467,451186.299976249,432427.0777278851,96295.63392748768,367328.90516070474,369669.93478275987,79314.073062486,136267.95577686778,206436.49248841868,112939.25591314289,92329.80099252677
8,2.0,134976.5568430482,488040.7870494675,467094.1745432251,104000.82206676602,395762.83471040684,398219.88831976656,85587.41538923788,149621.74093746595,229793.69656639165,123789.02085567842,101132.08858297464
9,2.125,145993.40649614303,526029.2283069362,502712.15767692885,111914.78548963752,424807.45803443756,427372.3467220264,92018.18196831935,163911.67634126043,255775.5475047826,135345.38088008217,110491.20711440862
10,2.25,157455.85205945044,565223.6249174819,539334.6657023013,120049.153741269,454489.5845133022,457153.28918896697,98614.47747447307,179278.97922180718,285047.467771381,147706.82164457903,120482.39279778907
11,2.375,169401.46430948135,605703.0611806578,577020.0077928221,128416.55598666127,484837.82861585304,487590.41229565494,105385.04903617343,195899.4463270902,318565.17581258714,160993.97207468914,131197.24206744204
12,2.5,181872.77567736804,647554.6651900576,615831.7222325272,137030.7389618193,515882.77567697543,518713.2847813114,112339.35598547598,213995.7552462643,357772.7488107777,175356.7842643788,142748.8282682808
13,2.625,194918.19429825357,690874.7380950205,655839.2209890686,145906.7028522914,547657.1671544851,550553.5201796517,119487.64933833038,233855.77453291038,405005.0399742535,190984.88220373826,155278.989617118
14,2.75,208593.13875131955,735770.0887630656,697118.5367711848,155060.85847164947,580196.1081780721,583144.969817257,126841.06268114648,255860.78985071805,464414.96961789083,208122.92149783575,168968.99749546527
15,2.875,222961.46069008342,782359.6203737123,739753.192767765,164511.20987659224,613537.3006887458,616523.9391336002,134411.71648614766,280530.8817850805,544547.981266393,227094.18699916158,184055.68069177886
16,3.0,238097.247717279,830776.2282555782,783835.2200682352,174277.56752419463,647721.3060510746,650729.4307884729,142212.8383091281,308601.7144923505,668135.279196633,248338.37434934848,200856.73938864644
17,3.125,254087.13538551697,881169.0852375512,829466.3539166715,184381.79831381657,682791.8417253005,685803.4186385518,150258.9018628184,341163.08271015494,951253.866445873,272475.20179550315,219812.35214011095
18,3.25,271033.31123625214,933706.4135220585,876759.4478990303,194848.12044809747,718796.1174421628,721791.1574098694,158565.788638532,379930.457416188,10047859.709736107,300418.45037044614,241557.54491324053
19,3.375,289057.4753669393,988578.8729182439,925840.1555145187,205703.45311302226,755785.2173648996,758741.5337963748,167150.97661050298,427839.9978074723,9315651.637252003,333597.6080130269,267057.4292055184
20,3.5,308306.14802066213,1046003.7375868434,976848.9421894497,216977.8336809679,793814.5360006209,796707.4658181681,176033.7616581655,490578.7013144876,10013924.845155155,374437.9464763987,297884.91281462053
21,3.625,328957.9143435823,1106230.0922954571,1029943.5088541618,228704.91871381688,832944.2771956783,835746.358625006,185235.51875890352,581663.4418197235,6957526.900652428,427574.0373571143,336870.3709256742
22,3.75,351233.5220233159,1169545.3622048702,1085301.73243181,240922.5898132474,873240.0274976288,875920.6265978587,194780.01184368663,750519.7836745542,9351336.440115541,503761.89789458585,389948.4002425708
23,3.875,375410.29604897153,1236283.6091840884,1143125.2614560304,253673.6918029535,914773.4175931426,917298.2936680354,204693.76361776132,7476524.537044616,8760629.125570748,640081.4480566732,473501.50588105427
24,4.0,401843.294314754,1306836.2011106964,1203643.9501712502,267006.9395187957,957622.8885733997,959953.6863509757,215006.49983479053,7893268.297638156,8783001.714197036,6286428.621932568,683903.1512344611
25,4.125,430997.3807136574,1381665.7183310075,1267121.3772799487,280978.0416423254,1001874.5836176251,1003968.2372267476,225751.68676884874,6942157.031665779,7781460.762355541,6147246.259529184,6047449.176508172
26,4.25,463497.7628782904,1461324.3524746774,1333861.7841723608,295651.1070657488,1047623.3905641492,1049431.420686484,236967.1863763343,8051231.82699682,8114554.800781637,5544809.226279182,5356363.775495127
27,4.375,500213.4306698589,1546478.660099242,1404218.89464087,311100.4235558224,1094974.1670846725,1096441.8479646023,248696.0614943797,6500500.060386067,8394985.017150117,7485226.221660161,5528311.979136456
28,4.5,542403.0995055655,1637943.5018007506,1478607.2636215994,327412.7336284375,1144043.188238162,1145108.5551440069,260987.57429425966,7647825.601962747,8644109.91951402,6848605.618366176,6020604.80369082
29,4.625,591989.9144733481,1736729.5872248223,1557517.0784202337,344690.18435187836,1194959.8666714558,1195552.5264379908,273898.4364683969,7920704.867193717,8893821.103645198,6229065.880902967,4583781.384343359
30,4.75,652131.056373358,1844111.7463711195,1641533.7549081943,363054.2057130549,1247868.8095105346,1247908.5062837205,287494.39137538476,7109000.939405361,9144123.564211367,7497000.129859976,5817044.358543716
31,4.875,728568.894642028,1961729.8139559622,1731364.3226632979,382650.6920141133,1302932.2942552378,1302327.1685558727,301852.23987691966,7963100.310137749,9395022.200946795,5956539.216005088,5842338.533169971
32,5.0,833556.968898644,2091742.8156145746,1827873.6329313433,403657.0497255473,1360333.2704678902,1358977.7308336783,317062.4680982003,6888253.142634224,9646521.817906333,6649491.457233461,5213355.339527058
